CorrelationId,longitude,latitude
f72e8069-66a7-4fa6-ac31-ea195f380194,88.28637,23.07492
cf7a7fa8-41e5-4a6a-ad73-e4d426132ec5,76.11996,11.12018
139ace4e-536d-4a40-a869-25abdc73f0f2,77.70636,28.98002
d66d457e-9b3e-47e5-b909-8cfb16a42d94,73.08333,19.21667
89c81206-444b-4659-88b9-ab12cfb7270f,86.68363,23.49668
98c75493-93e0-4284-b49e-09c147866c21,76.35484,10.10649
dc4d8b59-8c6b-41e0-894e-46fa20266ad7,76.56719,24.41288
743161df-e0fb-4484-96e2-3b72d361dc66,78.15794,12.1277
d546d440-e425-41d8-8ce1-8db7234d307d,71.30633,21.34222
7011f650-7995-43cf-b0ea-7fd0bba407e7,91.00632,26.32293
938cd74a-e601-4c46-98cd-1dc167de162b,91.00632,26.32293
7011f650-7995-43cf-b0ea-7fd0bba407e7,76.11996,11.12018
8570b5ed-c9a8-4393-8059-8969cd1bf601,77.23826,11.50526
8570b5ed-c9a8-4393-8059-8969cd1bf601,85.83636,25.66795
f7d620b8-7540-4b9f-8f2a-8acb33bb23f3,72.93924,18.87813
eb6e6ba8-bdc6-4f96-9540-fbaf89db4e26,77.54372,10.12268
95894caa-b5c6-4838-9713-ec77e1fab1e8,91.00632,26.32293
ee19f900-45ae-47e4-b635-f9d647c2ea6f,77.24779,10.58806
f7011b28-740b-45e8-a950-9d88a5e14883,76.12647,32.55531
fbf91573-9c86-4838-8234-4a49addc5385,78.15794,12.1277
592a5765-8b12-46fe-9578-0caf5ab8af5a,74.80555,34.08565
6a095ed2-8737-46e5-b3d2-0fd6d32baba3,71.21169,21.59983
2350f7cb-4837-4312-bbfb-50003ac5779f,88.18466,22.19303
be3ae752-5989-4c25-8364-6c94ec3eec71,76.12647,32.55531
41d457f7-a078-4120-95e3-0c092cc38a73,77.23826,11.50526
be3ae752-5989-4c25-8364-6c94ec3eec71,75.35927,12.04161
5fdc0efa-e7a4-4ad9-9798-77b5c41ed998,72.68533,22.75218
97675cef-36ff-4974-8075-2b9ac0a991a8,76.32756,9.57046
04e453cb-1a39-4ada-bde9-2ecab49975fa,84.63445,24.81757
c765bc1c-b76b-47a8-a0a6-757c13220365,78.23456,28.92694
c314bcb5-d53b-43cc-a60c-e470ca32bbf4,74.3092,33.37526
62ebb839-e390-423c-b625-2683d01b659b,74.80555,34.08565
fb1e22b5-4270-440b-9b30-3f6cbda6314c,73.7553,15.5439
813c255f-c208-47f9-9c21-9c39dff449e9,85.83636,25.66795
a74a0df7-2110-4b68-9ee0-8fb6e1318db8,85.83334,20.88197
a74a0df7-2110-4b68-9ee0-8fb6e1318db8,82.85749,17.54907
b842f8c0-3d11-4846-b48d-7d522e25ce85,85.37752,22.10194
4ba111c4-28b5-4c88-a83a-d0b44cd75514,81.54855,26.2649
4ba111c4-28b5-4c88-a83a-d0b44cd75514,73.06784,25.13915
4ba111c4-28b5-4c88-a83a-d0b44cd75514,88.18466,22.19303
4876e773-140e-4255-b29f-6edfdc8e8719,72.68533,22.75218
9786d1ec-ac0f-464a-998b-d9279e9a58e2,75.11937,20.88098
7209fe89-6c93-4e36-8449-32033047f4e5,73.66633,25.92493
8d5e3503-57ec-4a9b-adee-0853f94c6a9d,79.82979,11.93381
7374da7b-5450-47b5-8f24-594c2b1703be,74.4818,30.21121
17621ff0-5bb7-4d04-8c31-54ad30db9a31,75.96976,15.73628
6ffc90e7-2867-40f9-8be7-5009bc06b484,76.03889,18.18158
4876e773-140e-4255-b29f-6edfdc8e8719,71.57737,21.53889
bdb48794-fd79-412a-87e9-1decf35050f7,81.54855,26.2649
7319212a-4f42-46c6-bcc1-7508273e7983,81.54855,26.2649
663e80fc-d8ed-4725-b92a-60b166a9ac3a,84.13864,22.88783
2f39e760-bf72-4b38-aa7e-d08b6bf9ff91,72.68533,22.75218
1e634b77-18e7-475a-9f61-506964c7cd76,84.13864,22.88783
28ed8512-8b9c-4874-a4f5-2b49915fcbba,78.55757,17.34769
63829b85-e888-4050-ae4e-67525430b06e,91.00632,26.32293
1e634b77-18e7-475a-9f61-506964c7cd76,74.3092,33.37526
4002cc50-e3c9-41e5-8ae8-26b84c3460f1,76.56719,24.41288
15df720e-8d88-4fda-8057-5f16dc7c82bd,76.11996,11.12018
15df720e-8d88-4fda-8057-5f16dc7c82bd,71.21169,21.59983
4002cc50-e3c9-41e5-8ae8-26b84c3460f1,72.93924,18.87813
00b851df-f35f-44eb-a32f-05bb66f5a4c2,76.03889,18.18158
b64aecc5-dbc6-48e4-b74b-9111d0d606c0,78.55757,17.34769
9fb73d85-1106-4046-86ef-7c0afcca09f4,77.23826,11.50526
01bef0a7-1743-42b4-9ea1-8f68da168a8a,75.11937,20.88098
3460f08e-b5aa-4cf0-8d93-9d1ccbce77b0,75.92694,14.46693
6360c69b-52db-4db8-889c-f1d389206f55,75.35927,12.04161
eb82f616-dcae-461c-bed9-9f609c8d1713,82.85749,17.54907
86676c36-f2f9-4eb4-ac98-667cf5ddeeb6,85.83334,20.88197
22de16b6-1ce0-4a44-a6ab-fe86bd4edc69,77.23826,11.50526
2fba4c06-ccd0-4304-b325-2a1f8612e38f,88.18466,22.19303
ddb2a0be-b73b-4abd-8c87-1f05e7323630,81.54855,26.2649
ddb2a0be-b73b-4abd-8c87-1f05e7323630,77.23826,11.50526
ddb2a0be-b73b-4abd-8c87-1f05e7323630,71.57737,21.53889
24bc883e-d984-4b2c-bd76-f03f9a463360,78.27539,12.95629
ca2c750f-657a-441d-bb46-f01ab7fb1228,83.36889,26.76628
79801144-4b51-4122-a07b-3c47e6bbd6b6,76.12647,32.55531
f24e286c-5bf3-42ab-9bd6-a5aa9936640b,78.25795,9.82564
1311713d-e9d7-48cc-b2cd-465ab63ac4c3,74.4818,30.21121
a4234f5b-99fe-469d-8272-7e72bdc72edd,75.11937,20.88098
4d3eb3be-2c35-4776-9ae6-13603126faf9,74.4818,30.21121
ec93082d-7794-41b6-a656-467888ded8c9,71.30633,21.34222
7ad877ab-8860-45ae-ae9e-6da4a7780c6c,77.24779,10.58806
79613e3a-46e2-4efb-aa74-008499063044,79.5286,29.22254
28469735-d664-444d-8c6f-9865bba1ff66,76.56719,24.41288
8e7d8936-fba2-40b0-94c5-f7887fbd638b,76.32756,9.57046
0aae34c4-4999-45fa-84ad-21cd83ee52ee,88.58,23.18
8b8d6fc1-7b11-4b9a-9cce-caa92a493cd9,72.85107,19.30157
69c151a0-238c-4439-a68e-1a87241933d5,78.14797,15.45144
